"","title","point","review"
"1",오션스8,10,오션스8누가 아직도 박지훈을 고용하나 
"2",골든슬럼버,1,골든슬럼버진짜 영화 개연성 너무 안타깝다... 주인공은 울상으로 허겁지겁 도망만 다니는 배역이니 강동원도 매력있어 보이지가 않음 배우가 아깝다 ㅠ 
"3",디트로이트,8,디트로이트때로는 영화보다 더 영화같은이란 표현으로 우리네 삶을 묘사한다. 하지만 영화같은 삶은 없다. 그저 처절하게 생생히 살아숨쉬는 지옥불속의 삶이 때때로 존재할뿐. 이시대 가장 냉철하고 예리한 시선. 캐서린 비글로우가 묘사하는 그 지옥을 목도하라. 
"4",유전,10,유전개인적으로....영화에서 다루는 굉장히 기괴하고 기분 더러워지는 그런 설정? 같은 게 여러 개 있는데 그것들이 죄다 나와서 너무 여운이 길어요ㅠ흑 초반엔 정말 지루할 수도 있겠지만 그래서 중 후반부가 더 충격적이뮤ㅠㅠ 
"5",오션스8,10,오션스8너무 재밌다ㅠㅠ 몇번이든지 다시 볼 수 있는 영화 그리고 케이트 블란쳇은 천사다 
"6",c(",10,탐정: 리턴즈재밌어요ㅋㅋㅋ이광수대박ㅋㅋ 
"7",c(",10,탐정: 리턴즈진짜 시간가는줄 모르고 재밌게 봤네요..이광수 대박!!!!엄청 웃겨요ㅋ 
"8",마스터,10,마스터강동원은 잘생기고 멋있으라고 대놓고 시킨 역할 소화하는거 너무 잘함 
"9",c(",10,탐정: 리턴즈데이트 무비로도 좋아요. 아주 재밌게 보고왔음 
"10",c(",8,쥬라기 월드: 폴른 킹덤재미없다는 사람많은데 솔직히 대놓고 말안되는 부분 생각보다 적고 무난히 재난영화 생존영화 기본틀은 다 갖춰서 볼만함 
