"","title","point","review"
"1","오션스8","10","오션스8누가 아직도 박지훈을 고용하나 "
"2","골든슬럼버","1","골든슬럼버진짜 영화 개연성 너무 안타깝다... 주인공은 울상으로 허겁지겁 도망만 다니는 배역이니 강동원도 매력있어 보이지가 않음 배우가 아깝다 ㅠ "
"3","디트로이트","8","디트로이트때로는 영화보다 더 영화같은이란 표현으로 우리네 삶을 묘사한다. 하지만 영화같은 삶은 없다. 그저 처절하게 생생히 살아숨쉬는 지옥불속의 삶이 때때로 존재할뿐. 이시대 가장 냉철하고 예리한 시선. 캐서린 비글로우가 묘사하는 그 지옥을 목도하라. "
"4","유전","10","유전개인적으로....영화에서 다루는 굉장히 기괴하고 기분 더러워지는 그런 설정? 같은 게 여러 개 있는데 그것들이 죄다 나와서 너무 여운이 길어요ㅠ흑 초반엔 정말 지루할 수도 있겠지만 그래서 중 후반부가 더 충격적이뮤ㅠㅠ "
"5","오션스8","10","오션스8너무 재밌다ㅠㅠ 몇번이든지 다시 볼 수 있는 영화 그리고 케이트 블란쳇은 천사다 "
"6","탐정: 리턴즈","10","탐정: 리턴즈재밌어요ㅋㅋㅋ이광수대박ㅋㅋ "
"7","탐정: 리턴즈","10","탐정: 리턴즈진짜 시간가는줄 모르고 재밌게 봤네요..이광수 대박!!!!엄청 웃겨요ㅋ "
"8","마스터","10","마스터강동원은 잘생기고 멋있으라고 대놓고 시킨 역할 소화하는거 너무 잘함 "
"9","탐정: 리턴즈","10","탐정: 리턴즈데이트 무비로도 좋아요. 아주 재밌게 보고왔음 "
"10","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤재미없다는 사람많은데 솔직히 대놓고 말안되는 부분 생각보다 적고 무난히 재난영화 생존영화 기본틀은 다 갖춰서 볼만함 "
"11","길소뜸","8","길소뜸이산가족 아픔을 제대로 잘 방영한 영화 "
"12","기동전사 건담 디 오리진Ⅵ: 탄생 붉은 혜성","10","기동전사 건담 디 오리진Ⅵ: 탄생 붉은 혜성개인적으로 디오리진 6부작중 제일 재밌었어요 "
"13","오션스8","10","오션스8캐릭터 한명한명이 다 멋있고 특히 케이트 블란쳇 사랑합니다ㅠㅠㅠ "
"14","쥬라기 월드: 폴른 킹덤","2","쥬라기 월드: 폴른 킹덤11살 아들이 보고 나서 울었습니다 너무 재미없다고 이게 뭐냐고 평점 8.5점이 나온다는게 웃기지도 않네요 "
"15","쥬라기 월드: 폴른 킹덤","10","쥬라기 월드: 폴른 킹덤역시 쥬라기는 영화관에서 봐야 지린다~ "
"16","쥬라기 월드: 폴른 킹덤","6","쥬라기 월드: 폴른 킹덤후속편을 만들기 위한 최선의 노력... "
"17","쥬라기 월드: 폴른 킹덤","7","쥬라기 월드: 폴른 킹덤쥬라기월드는 기대없이 봐야합니다. "
"18","탐정: 리턴즈","10","탐정: 리턴즈출연진 캐미가 좋아 잼있어요~ㅋㅋ "
"19","아이 필 프리티","4","아이 필 프리티내용이 억지스럽고 작위적이었다. 르네가 몸매는 그대로인데, 자신감이 넘치는 기간의 행동들이 손,발이 오그라들 것 같았고, 난 왜 영화를 다 본 후에, 아~나도 살빼야겠구나 하는 강한 동한 동기가 생겼다. "
"20","탐정: 리턴즈","10","탐정: 리턴즈난 솔직히 권상우 성동일 잘맞는다고 생각했는데 광수 끼니까 광수 하드캐리 해버리네 개꿀잼 트리오의 활약 "
"21","고금소총 2","6","고금소총 2소변으로 불끄는 장면이 웃김 "
"22","오션스8","1","오션스8지루함 별로임 돈아까움ㅇ "
"23","탐정 : 더 비기닝","1","탐정 : 더 비기닝평점이 높아서 놀랐다. 진짜 댓글알바가 존재하는건가 싶음. 영화개봉했을때 보고는 <더 비기닝> 붙은거보고 속편은 못나오겠다 싶었는데, 흥행을 하고 후속편이 나오고 그것도 흥행을 한다는게 놀랍다. 시대를 역행하는 영화다. "
"24","오션스8","2","오션스8지루함 별로임 돈아까움 "
"25","목숨 건 연애","1","목숨 건 연애개판입니다...ㅋ웃음밖에안나옴 "
"26","탐정: 리턴즈","10","탐정: 리턴즈최고. 통쾌해요 배우들 연기좋고 스토리도 탄탄 "
"27","독전","10","독전김주혁의 약빤연기 조진웅 과 류준열의 힘을뺀 자연스러운연기 그외 조연들의 OOO기  차승원의 필요이상의 에드립이 아쉬웠던 명작 "
"28","탐정: 리턴즈","8","탐정: 리턴즈오랜만에 많이 웃었네요 ! 1편 보다 코믹 부분이늘어나면서 영화내내 유쾌하네요!재미보장! "
"29","오션스8","3","오션스8여성 이딴거 다 필요없고 그냥 노잼인데 어찌 점수를 후하게 주냐 "
"30","독전","10","독전배우들 연기도 감독의 연출도 배경으로 깔리는 음악도 좋았어요 "
"31","살인소설","10","살인소설이게 왜 평점이 이렇냐. 졸라 재미있다. "
"32","탐정: 리턴즈","9","탐정: 리턴즈ㅈㅐ밋어요 열자열자열자 "
"33","유전","10","유전저희동네에서 유전상영을 잘 안해요ㅠㅠ 극장 3곳에서 일주일에 3번한다구요ㅠㅠㅠ보고싶은데... "
"34","버닝","1","버닝남자들 앞에서 옷을 왜 그렇게 잘 벗어? OO들이나 그렇게 벗는 거야 "
"35","오션스8","10","오션스8엄청난 라인업과 편안하게 즐길 수 있는 영화. 매력이 차고 넘치며 누구하나 빠짐 없이 분량 분배도 정말 잘했다. 자극적이고  관객에게서 감정을 쥐어 짜내려고 하는 영화들과는 다르게 그러지 않아서  10점 보다 더 많이 주고싶다. "
"36","탐정: 리턴즈","10","탐정: 리턴즈진짜 존웃...ㅠㅠㅠ아 ㅠㅠ계속 생각납니다 "
"37","유전","6","유전쏘쏘 . 결말덕에 그닥 무섭지않아졌음 밤에생각도 안나 "
"38","오션스8","6","오션스8눈만 즐거우라고 만든 영화. 진정 이런 배우들 데리고 이런 영화밖에 못 뽑아내나...? "
"39","레드 스패로","10","레드 스패로품격있는 스파이 영화. 음악 영상 연출 연기 흠잡을게 없었다 "
"40","1987","10","1987그날이 오면... 믿어지시나요.. 결코 기대할 수 없었던 그날이 왔습니다... 그리고 아직도 완벽한 그날은 오지 않았습니다... 감독님은 미친사람입니다. 지구를 지켜라때부터. 괴작을 넘어 이제 거장이 되시는군요. 크고 깊어 울음이 멈추지 않습니다. "
"41","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤브라키오사우르스 ~jQuery22405082642943033995_1529275206142?맞나~?? 배가떠나는데 타지못하는 장면~~기억에 남네요~~ "
"42","아이 필 프리티","9","아이 필 프리티진짜 몇년만에 이렇게 극장에서 박장대소 해보는지모르겠내요  완전 크게웃어도  다같이웃으니 눈치볼필요도없는 영화!! 강력추처ㆍ "
"43","램페이지","8","램페이지볼만했다. 생각없이 가볍게 봐 "
"44","쥬라기 월드: 폴른 킹덤","9","쥬라기 월드: 폴른 킹덤초반은좀지루한듯하다가 중반부부터는 눈을못떼겠더라고욥 ㅎ "
"45","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤영화는 넘 재밌고 좋았는데 요즘 애들은 영화관에선 조용히 해야된다는걸 못배웠나봐요ㅎ 비싼돈 주고 4d로 봤는데 애들 떠드는 소리에 빡쳐서 중간에 나갈뻔...ㅎ 이런 영화는 심야가 답인가봐요 "
"46","위험한 패밀리","1","위험한 패밀리8.5점이라고 이런영화가? 결말봤냐?ㅋㅋㅋ "
"47","탐정 : 더 비기닝","10","탐정 : 더 비기닝기대 마니 안하고 갔는데 넘 재밌었어요~~ "
"48","택시운전사","8","택시운전사대한민국은 5월광주에게 잊을 수 없는 빚을 졌습니다. 차마 발걸음이 떨어지지 않는 금남로를 딛고 오늘이 왔습니다. 너무 가슴이 아파요. "
"49","탐정: 리턴즈","9","탐정: 리턴즈1편보다 재미있었어요.... 재미있고 유쾌했네요.... 즐겁게 볼수 있는 영화 "
"50","쥬라기 월드: 폴른 킹덤","10","쥬라기 월드: 폴른 킹덤화면을 압도하는 스케일 "
"51","쥬라기 월드: 폴른 킹덤","6","쥬라기 월드: 폴른 킹덤뻔하지만 뻔한줄 알면서도 재미있는... 아무생각없이 볼수있음 "
"52","네이키드 웨폰스","10","네이키드 웨폰스이영화 보고 발기부전 이 치료 됐어요 "
"53","튤립 피버","7","튤립 피버스토리는 그래도 탄탄하나 주연커플의 매력을 도통 못느끼겠는게 넘아쉽고 마리아커플이 더 매력있다~ 위기에서 할아버지의 마지막결정 대인배~! "
"54","위대한 독재자","10","위대한 독재자그냥 옛날 영화를 보는 게 시간여행하는 것 같을 것 같아서 틀었는데.. 진짜 충격먹었다 영화라는 장르로 SIR라는 칭호가 붙을려면 이정도는 해야되는구나라는 걸 느꼈다 찰리 채플린경 존경합니다 "
"55","탐정: 리턴즈","9","탐정: 리턴즈역시탐정너무재미있네요~꼭보세요~ "
"56","그해 여름","9","그해 여름아픈 시절에 만나 나이 들어 웃으며 눈물을 흘릴 수 있다는 사실이 보는 이의 맘을 더 아프게 하는구나 "
"57","탐정: 리턴즈","2","탐정: 리턴즈웃음코드가 식상한 영화 "
"58","오션스8","1","오션스81점도 아깝다 무한걸스를 보는 기분... "
"59","탐정: 리턴즈","10","탐정: 리턴즈오랜만에 재밌는 영화에요 "
