"","순위","선수명","팀명","AVG","경기수","타석","타수","득점","안타","2루타","3루타","홈런","루타","타점","희생번트","희생플라이","출루율","연봉","연봉대비출루율"
"1","1","양의지","NC",0.354,118,459,390,61,138,26,0,20,224,68,0,6,0.438,60,7.3
"2","2","페르난데스","두산",0.344,144,645,572,87,197,34,0,15,276,88,0,6,0.409,32,12.78
"3","3","박민우","NC",0.344,125,526,468,89,161,23,8,1,203,45,2,6,0.403,10.5,38.38
"4","4","이정후","키움",0.336,140,630,574,91,193,31,10,6,262,68,3,4,0.386,150,2.57
"5","5","강백호","KT",0.336,116,505,438,72,147,29,1,13,217,65,0,4,0.416,27,15.41
"6","6","고종욱","SK",0.323,137,513,492,76,159,25,7,3,207,56,0,2,0.347,150,2.31
"7","7","로하스","KT",0.322,142,578,521,68,168,30,3,24,276,104,0,5,0.381,140,2.72
"8","8","박건우","두산",0.319,127,537,458,83,146,27,5,10,213,64,1,11,0.397,250,1.59
"9","9","유한준","KT",0.317,139,562,501,61,159,19,1,14,222,86,0,5,0.383,32,11.97
"10","10","채은성","LG",0.315,128,514,470,59,148,18,1,12,204,72,0,8,0.358,26.5,13.51
"11","11","이천웅","LG",0.308,138,613,546,88,168,24,3,2,204,48,4,1,0.378,11,34.36
"12","12","김하성","키움",0.307,139,625,540,112,166,38,2,19,265,104,1,7,0.389,45,8.64
"13","13","김태균","한화",0.305,127,500,433,47,132,21,0,6,171,62,0,8,0.382,13,29.38
"14","14","샌즈","키움",0.305,139,613,525,100,160,39,1,28,285,113,0,5,0.396,35,11.31
"15","15","김현수","LG",0.304,140,595,526,75,160,37,0,11,230,82,0,9,0.37,11,33.64
"16","16","전준우","롯데",0.301,141,606,545,85,164,30,1,22,262,83,1,7,0.359,43,8.35
"17","17","서건창","키움",0.3,113,486,426,67,128,23,3,2,163,41,3,5,0.373,40,9.32
"18","18","최형우","KIA",0.3,136,555,456,65,137,31,1,17,221,86,0,7,0.413,56,7.38
"19","19","김헌곤","삼성",0.297,114,467,411,57,122,20,1,5,159,46,5,6,0.361,20,18.05
"20","20","손아섭","롯데",0.295,134,568,512,78,151,22,1,10,205,63,1,2,0.36,47,7.66
"21","21","이명기","NC",0.293,139,547,484,62,142,17,3,2,171,36,7,4,0.359,25,14.36
"22","22","오재일","두산",0.293,130,529,467,76,137,29,1,21,231,102,0,4,0.369,156,2.37
"23","23","러프","삼성",0.292,133,568,472,80,138,35,2,22,243,101,0,9,0.396,80,4.95
"24","24","최정","SK",0.292,141,606,503,86,147,27,0,29,261,99,0,8,0.399,24,16.62
"25","25","김선빈","KIA",0.292,121,447,394,55,115,22,0,3,146,40,5,4,0.36,55,6.55
"26","26","최재훈","한화",0.29,135,451,373,47,108,18,0,3,135,31,4,4,0.398,8.5,46.82
"27","27","허경민","두산",0.288,133,540,475,71,137,25,1,4,176,60,3,11,0.35,9,38.89
"28","28","이형종","LG",0.286,120,482,419,56,120,24,1,13,185,63,1,10,0.358,83,4.31
"29","29","이대호","롯데",0.285,135,549,485,48,138,23,1,16,211,88,0,7,0.355,120,2.96
"30","30","호잉","한화",0.284,124,525,476,74,135,26,2,18,219,73,1,5,0.34,37,9.19
